observation_date,DGS5,change_in_yields_in_bps,Volatility,Policy_Scheme,Crisis_Scheme,Yield_Curve_Shape,Business_Cycles,Rolling_Volatility_Z_Score
2020-10-12,0.33,-1.00,1.879716290649542,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.49356572606668486
2020-10-13,0.31,-2.00,1.9395630337539178,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.02489489650286984
2020-10-14,0.30,-1.00,1.956673562087291,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.2752710771157901
2020-10-15,0.32,2.00,1.9904534061124617,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.71409258946082
2020-10-16,0.32,0.00,1.9904534061124617,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.8359736478886136
2020-10-19,0.34,2.00,2.0224925687072695,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.1585483646195756
2020-10-20,0.34,0.00,1.957890020745106,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.5504015787399104
2020-10-21,0.36,2.00,1.9892568605242502,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.9524999556150404
2020-10-22,0.38,2.00,2.0154167712670996,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.227671517505307
2020-10-23,0.37,-1.00,2.0154167712670996,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.1668238388548944
2020-10-26,0.35,-2.00,2.0632844828435064,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.502961469102432
2020-10-27,0.34,-1.00,2.0850944936906304,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.6227185205668224
2020-10-28,0.34,0.00,2.0154167712670996,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.7893248699428844
2020-10-29,0.38,4.00,2.0154167712670996,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.7401628485815243
2020-10-30,0.38,0.00,1.9904534061124617,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.43347885613413395
2020-11-02,0.38,0.00,1.9904534061124617,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.3918663528985645
